date,1,2,3,4
2021/8/24,7.73,6.29,3.8,0.16
2021/8/25,8.09,9.99,1.2,0.05
2021/8/26,7.16,7.73,2.6,0.17
2021/8/27,8.53,8.68,1.9,0.16
2021/8/28,7.75,7.93,1.6,0.11
2021/8/29,6.67,3.91,1.7,0.74
2021/8/30,7.64,6.13,1,0.26
2021/8/31,7.58,8.43,2.4,0.31
2021/9/1,7.47,7.15,3.2,0.49
2021/9/2,6.89,8.15,1.7,0.16
2021/9/3,7.23,6.2,1.8,0.14
2021/9/4,8.06,7.69,0.9,0.14
2021/9/5,7.64,7.37,2.5,0.31
2021/9/6,7.1,6.36,1.8,0.15
2021/9/7,7.19,9.4,1.6,0.16
2021/9/8,6.97,6.15,3.1,0.1
2021/9/9,7.52,5.61,2.7,0.13
2021/9/10,7.68,6.06,2.9,0.28
2021/9/11,7.72,10.2,2.8,0.08
2021/9/12,7.77,6.83,2.9,0.16
2021/9/13,7.48,7.53,2,0.17
2021/9/14,7.71,6.32,3.6,0.17
2021/9/15,8.18,10.2,1.2,0.05
2021/9/16,7.21,7.99,2.1,0.15
2021/9/17,8.37,7.92,2.3,0.17
2021/9/18,7.8,7.87,1.5,0.13
2021/9/19,6.51,5.81,3.5,0.18
2021/9/20,7.74,6.14,0.8,0.32
2021/9/21,7.71,8.79,2.7,0.33
2021/9/22,7.57,7.72,2.4,0.52
2021/9/23,6.82,8.25,1.8,0.19
2021/9/24,7.36,6.09,1.9,0.09
2021/9/25,8.18,8.53,0.8,0.17
2021/9/26,7.68,7.27,2.6,0.32
2021/9/27,7.15,6.88,2.1,0.14
2021/9/28,7.34,9.58,5.9,0.13
2021/9/29,7.13,6.24,2.6,0.11
2021/9/30,7.48,5.29,2.6,0.11
2021/10/1,7.54,5.31,3.5,0.25
2021/10/2,7.69,8.77,1.8,0.07
2021/10/3,7.79,6.87,3.1,0.14
2021/10/4,7.48,7.8,2,0.2
2021/10/5,7.78,6.82,3.8,0.15
2021/10/6,8.35,10.3,1.3,0.05
2021/10/7,7.17,7.28,2.4,0.16
2021/10/8,8.37,7.96,1.6,0.2
2021/10/9,7.78,7.93,1.9,0.13
2021/10/10,6.63,6.26,3.3,0.07
2021/10/11,7.64,0,0.7,0.32
2021/10/12,8.45,5.99,2.8,0.21
2021/10/13,7.46,7.11,2.5,0.48
2021/10/14,6.74,8.2,1.7,0.21
2021/10/15,7.21,5.23,3.5,0.21
2021/10/16,8.24,8.77,1,0.15
2021/10/17,7.68,7,1.7,0.27
2021/10/18,7.14,6.72,2.1,0.15
2021/10/19,7.31,9.49,2.8,0.14
2021/10/20,7.34,6.59,2.5,0.11
2021/10/21,7.55,5.3,2.3,0.1
2021/10/22,7.55,5.55,2.8,0.31
2021/10/23,7.57,7.96,1.4,0.06
2021/10/24,7.71,7.2,3.4,0.24
2021/10/25,7.37,7.6,2.1,0.17
2021/10/26,7.75,7.32,3.9,0.16
2021/10/27,8.18,10.1,1.3,0.05
2021/10/28,7.6,5.96,2.4,0.11
2021/10/29,7.41,8,1.7,0.11
2021/10/30,8.57,8.64,2.1,0.13
2021/10/31,7.75,7.81,2.1,0.1
2021/11/1,7.11,5.97,3.1,0.09
2021/11/2,7.71,7.52,1.1,0.3
2021/11/3,8.33,3.88,2.2,0.22
2021/11/4,7.48,7.16,2.5,0.47
2021/11/5,6.67,7.76,1.7,0.21
2021/11/6,7.05,4.63,6.4,0.37
2021/11/7,8.22,8.61,1,0.13
2021/11/8,7.62,7.37,1.3,0.31
2021/11/9,7.14,6.88,2.5,0.15
2021/11/10,7.5,10,1.9,0.13
2021/11/11,7.3,6.57,2.8,0.12
2021/11/12,7.39,5.14,2,0.24
2021/11/13,7.73,8.95,1.8,0.07
2021/11/14,7.82,7.84,3.3,0.2
2021/11/15,7.41,7.83,3.2,0.14
2021/11/16,7.6,7.05,4.3,0.16
2021/11/17,7.91,10.1,1.7,0.06
2021/11/18,7.39,8.04,1.6,0.13
2021/11/19,8.74,9.95,2.2,0.11
2021/11/20,7.76,7.88,1.9,0.1
2021/11/21,7.95,5.52,3.3,0.02
2021/11/22,8,7.54,1.4,0.41
2021/11/23,8.68,8.29,3.7,0.16
2021/11/24,7.7,7.34,1.6,0.39
2021/11/25,6.65,8.57,1.7,0.17
2021/11/26,7.15,5.85,5.3,0.2
2021/11/27,8.03,7.98,1.2,0.14
2021/11/28,7.79,7.38,2.1,0.36
2021/11/29,7.09,6.78,3.1,0.17
2021/11/30,7.45,9.45,2.3,0.14
2021/12/1,7.36,8.32,2.8,0.11
2021/12/2,7.51,6.74,3,0.14
2021/12/3,7.55,6.05,1.9,0.19
2021/12/4,7.54,6.85,1.5,0.08
2021/12/5,7.85,7.92,3.2,0.19
2021/12/6,7.48,8.17,4.1,0.14
2021/12/7,7.64,7.19,4.2,0.13
2021/12/8,7.89,10.3,1.4,0.04
2021/12/9,7.42,7.42,1.9,0.24
2021/12/10,8.71,9.13,1.7,0.07
2021/12/11,7.71,7.61,2.8,0.09
2021/12/12,7.92,5.61,2.8,0.07
2021/12/13,8.11,7.3,2.7,0.3
2021/12/14,8.33,0,1.9,0.51
2021/12/15,7.69,6.93,1.9,0.41
2021/12/16,6.59,8.27,1.9,0.17
2021/12/17,7.36,6.8,4.7,0.17
2021/12/18,8.11,9.18,1.3,0.1
2021/12/19,7.81,7.25,3.2,0.23
2021/12/20,7.1,7.17,2.6,0.15
2021/12/21,7.53,9.7,3.2,0.18
2021/12/22,7.41,6.94,2.8,0.1
2021/12/23,7.33,6.45,2.8,0.13
2021/12/24,7.55,5.88,2.2,0.26
2021/12/25,7.51,6.94,2.7,0.08
2021/12/26,7.7,7.15,3.1,0.24
2021/12/27,7.4,7.88,6.8,0.22
2021/12/28,7.55,6.97,5.2,0.13
2021/12/29,7.91,10.7,1.3,0.05
2021/12/30,7.27,5.73,2.6,0.14
2021/12/31,8.77,9.26,2.4,0.09
2022/1/1,7.74,7.41,2.7,0.12
2022/1/2,7.99,5.47,2.4,0.04
2022/1/3,8.06,7.25,1.1,0.33
